safe_file,original_file,title,artist,license,source,attribution,mood
music_safe/track-065.mp3,Andrey Petrov - Мы Слушаем Джаз.mp3,Мы Слушаем Джаз,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,Andrey Petrov - Мы Слушаем Джаз - CC BY 4.0,jazz
music_safe/track-066.mp3,Andrey Petrov - Однажды утро.mp3,Однажды утро,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,Andrey Petrov - Однажды утро - CC BY 4.0,morning
music_safe/track-067.mp3,Andrey Petrov - Танец под дудочку.mp3,Танец под дудочку,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,Andrey Petrov - Танец под дудочку - CC BY 4.0,chill
music_safe/track-068.mp3,Andrey Petrov - Утро с ветерком.mp3,Утро с ветерком,Andrey Petrov,CC BY 4.0,https://freemusicarchive.org/music/andrey-petrov/sunset-reggae-dreams,Andrey Petrov - Утро с ветерком - CC BY 4.0,morning
music_safe/track-069.mp3,Austin Moffa - You Will Fall.mp3,You Will Fall,Austin Moffa,CC BY 4.0,https://freemusicarchive.org/music/austin-moffa/a-speck-of-dust-in-space/you-will-fall/,Austin Moffa - You Will Fall - CC BY 4.0,chill
music_safe/track-070.mp3,Billy Murray - My Old New Jersey Home.mp3,My Old New Jersey Home,Billy Murray,Public Domain / Sound Recording Common Law Protection,https://freemusicarchive.org/music/Billy_Murray/Antique_Phonograph_Music_Program_04282015/My_Old_New_Jersey_Home_-_Billy_Murray/,Billy Murray - My Old New Jersey Home - Public Domain / Sound Recording Common Law Protection,vintage
music_safe/track-071.mp3,Breuss Arrizabalaga Quintet - Mount Fuji.mp3,Mount Fuji,Breuss Arrizabalaga Quintet,Public Domain,https://freemusicarchive.org/music/Breuss_Arrizabalaga_Quintet/Nfamoudou-Boudougou/05_-_breuss_arrizabalaga_quintet_-_mount_fuji/,Breuss Arrizabalaga Quintet - Mount Fuji - Public Domain,chill
music_safe/track-072.mp3,Bryan Mathys - It's Not Hard to Get Lost.mp3,It's Not Hard to Get Lost,Bryan Mathys,Creative Commons Attribution License,https://freemusicarchive.org/music/Bryan_Mathys/Wild_Heart/Bryan_Mathys_-_Wild_Heart_-_03_Its_Not_Hard_to_Get_Lost/,Bryan Mathys - It's Not Hard to Get Lost - Creative Commons Attribution License,chill
music_safe/track-073.mp3,Bryan Mathys - Wild Heart.mp3,Wild Heart,Bryan Mathys,Creative Commons Attribution License,https://freemusicarchive.org/music/Bryan_Mathys/Wild_Heart/Bryan_Mathys_-_Wild_Heart_-_04_Wild_Heart/,Bryan Mathys - Wild Heart - Creative Commons Attribution License,chill
music_safe/track-074.mp3,Cullah - Neurosis Of The Liver.mp3,Neurosis Of The Liver,Cullah,CC BY 4.0,https://freemusicarchive.org/music/MC_Cullah/Cullah_The_Wild,Cullah - Neurosis Of The Liver - CC BY 4.0,chill
music_safe/track-075.mp3,Cullah - The Fallow Fellow.mp3,The Fallow Fellow,Cullah,CC BY 4.0,https://freemusicarchive.org/music/MC_Cullah/Cullah_The_Wild/03_-_The_Fallow_Fellow/,Cullah - The Fallow Fellow - CC BY 4.0,chill
music_safe/track-076.mp3,Cullah - To The Rhythm of the Funk.mp3,To The Rhythm of the Funk,Cullah,CC BY 4.0,https://freemusicarchive.org/music/MC_Cullah/Cullah_The_Wild/09_-_To_The_Rhythm_of_the_Funk/,Cullah - To The Rhythm of the Funk - CC BY 4.0,energy
music_safe/track-077.mp3,Cullah - Where You Do Belong.mp3,Where You Do Belong,Cullah,CC BY 4.0,https://freemusicarchive.org/music/MC_Cullah/Cullah_The_Wild/06_-_Where_You_Do_Belong/,Cullah - Where You Do Belong - CC BY 4.0,chill
